,member_id,company_id,year_from,title,company_name
0,1336682,8257154.0,2000.0,"Founder, Data Architect, and Lead Software Developer","Lifecom, Inc."
1,1342539,12082053.0,2016.0,President and Founder,Tell-i Technologies
2,1363525,494330.0,2009.0,"Chief Content and Creative Officer, Founder","BrainRewards, Inc."
3,1437142,2124584.0,2000.0,"President & CEO, Co-Founder","Cardica, Inc."
4,1445943,759933.0,2015.0,Co-founder / Chief Science Officer,Hedgemon
5,1516765,8503719.0,2012.0,"Founder, CEO and Creative Director",LumiFi
6,1516914,10906212.0,2016.0,Founder,Innaus
7,1517052,6274581.0,2014.0,CTO / CoFounder,Equibit Development Corporation
8,1519914,1236259.0,2005.0,Founder - Vice President of Marketing,PetSquared.com
9,1549100,1112231.0,2010.0,"Founder, CEO",Taposé (acquired)
10,1549724,88408296.0,2018.0,Vice President & Co-Founder,Guffey Systems
11,1558062,2426750.0,2014.0,Co-founder and Chief Mathematician,TypeZero Technologies LLC
12,1560863,8633772.0,2010.0,Co-Founder & CEO,"Anki, Inc."
13,1624939,1252455.0,2014.0,Co-Founder,Prempoint Inc.
14,1629095,5878619.0,1994.0,Co-Founder and R&D Manager,"WellDynamics, Inc."
15,1629468,12518821.0,2016.0,Founder,Denver Industrial Instruments
16,1653116,7148962.0,2014.0,Co-Founder/VP of Engineering,RailPod Inc.
17,1711487,2088790.0,2007.0,Founder and Lead Developer,ChapterBoard
18,1711704,4146859.0,2008.0,Co-Founder & SVP Product,SweetLabs
19,1713422,83872474.0,2015.0,President & Founder,NaturPro Scientific LLC
20,1724161,10398727.0,2016.0,Co Founder,"Draw a Smile Foundation, Inc"
21,1789504,2122402.0,1987.0,"Founder, Software Engineer",Cayman Systems
22,1880360,10683689.0,2012.0,Head of Design & Co-Founder,"FaceTec, Inc."
23,1888626,8778636.0,2007.0,"President & CFO, Co-Founder","Anchor Funding Services, LLC"
24,1891490,88632935.0,2010.0,Founder and Chief Executive Officer,"DiagNano, Inc."
25,1892611,12510589.0,2017.0,Founder and CEO,PrescienTrading
26,1920364,10613950.0,2020.0,Founder at Deep Science Ventures,Deep Science Ventures
27,1944309,2078447.0,2009.0,Co-Founder,curated.by
28,1954097,2433466.0,2008.0,"Co-Founder, Chief Clinical Officer and Director",TherapeuticsMD (TXMD)
29,1957418,2525849.0,2015.0,"Founder + Managing Director, The Coca-Cola Media Co.",The Coca-Cola Company
30,1961546,8064301.0,2014.0,Co-Founder,Jabb Labs LLC
31,1962520,3684062.0,2012.0,Co-Founder & CTO,CamFind Inc.
32,1967583,1352062.0,2012.0,Co-Founder,Xenex
33,1968696,9673769.0,2001.0,Founder/CEO,"ArtistShare, Inc. / FanFunded.com"
34,1969597,9677035.0,1998.0,CEO | Co-Founder,"PlayMedia Systems, Inc."
35,1978370,3805114.0,2012.0,Co-founder & CEO,"IEX Group, Inc."
36,1981603,19526122.0,2018.0,Founder | CEO,Currency Hub LLC
37,1994146,11278418.0,2015.0,Co-founder,"ModGene Pharma, LLC"
38,1995961,5983314.0,2013.0,Co-Founder,Western Biologics LLC
39,1998333,6006930.0,2012.0,Founder and CEO,Onvedeo Inc.
40,2002922,1954476.0,2013.0,Cofounder and CEO,Citrine Informatics
